event_date_utc,variant,event_name,events,assignments,users,clarity_enabled_events
2026-05-06,control,first_meaningful_action,1,1,1,0
2026-05-06,control,onboarding_modal_shown,3,3,3,0
2026-05-06,control,onboarding_video_progress_25,1,1,1,0
2026-05-06,control,onboarding_video_started,2,2,2,0
2026-05-07,avatar,onboarding_modal_shown,1,1,1,0
2026-05-07,avatar,onboarding_video_progress_25,1,1,1,0
2026-05-07,avatar,onboarding_video_progress_50,1,1,1,0
2026-05-07,avatar,onboarding_video_progress_75,1,1,1,0
2026-05-07,avatar,onboarding_video_started,1,1,1,0
2026-05-08,avatar,first_meaningful_action,1,1,1,0
2026-05-08,avatar,onboarding_cta_clicked,1,1,1,0
2026-05-08,avatar,onboarding_modal_shown,2,2,2,0
2026-05-08,avatar,onboarding_video_progress_25,2,2,2,0
2026-05-08,avatar,onboarding_video_progress_50,1,1,1,0
2026-05-08,avatar,onboarding_video_started,2,2,2,0
2026-05-08,control,first_meaningful_action,1,1,1,0
2026-05-08,control,onboarding_modal_shown,1,1,1,0
2026-05-08,control,onboarding_video_progress_25,1,1,1,0
2026-05-08,control,onboarding_video_started,1,1,1,0
2026-05-09,control,create_video_page_opened,1,1,1,0
2026-05-09,control,first_meaningful_action,1,1,1,0
2026-05-09,control,onboarding_cta_clicked,1,1,1,0
2026-05-09,control,onboarding_modal_shown,2,2,2,0
2026-05-09,control,onboarding_video_started,1,1,1,0
2026-05-10,avatar,create_video_page_opened,1,1,1,0
2026-05-10,avatar,first_meaningful_action,1,1,1,0
2026-05-10,avatar,onboarding_cta_clicked,1,1,1,0
2026-05-10,avatar,onboarding_modal_shown,3,3,3,0
2026-05-10,avatar,onboarding_video_progress_25,2,2,2,0
2026-05-10,avatar,onboarding_video_progress_50,2,2,2,0
2026-05-10,avatar,onboarding_video_progress_75,1,1,1,0
2026-05-10,avatar,onboarding_video_started,2,2,2,0
2026-05-10,control,onboarding_modal_shown,1,1,1,0
2026-05-10,control,onboarding_video_started,1,1,1,0
2026-05-11,avatar,create_video_page_opened,3,3,3,0
2026-05-11,avatar,first_meaningful_action,3,3,3,0
2026-05-11,avatar,onboarding_cta_clicked,1,1,1,0
2026-05-11,avatar,onboarding_modal_shown,3,3,3,0
2026-05-11,avatar,onboarding_video_completed,1,1,1,0
2026-05-11,avatar,onboarding_video_progress_25,2,2,2,0
2026-05-11,avatar,onboarding_video_progress_50,2,2,2,0
2026-05-11,avatar,onboarding_video_progress_75,2,2,2,0
2026-05-11,avatar,onboarding_video_progress_90,2,2,2,0
2026-05-11,avatar,onboarding_video_started,3,3,3,0
2026-05-11,avatar,video_create_started,1,1,1,0
2026-05-11,control,create_video_page_opened,1,1,1,0
2026-05-11,control,first_meaningful_action,3,3,3,0
2026-05-11,control,onboarding_cta_clicked,2,2,2,0
2026-05-11,control,onboarding_modal_shown,4,4,4,0
2026-05-11,control,onboarding_video_progress_25,1,1,1,0
2026-05-11,control,onboarding_video_started,2,2,2,0
2026-05-12,avatar,first_meaningful_action,1,1,1,0
2026-05-12,avatar,onboarding_modal_shown,1,1,1,0
2026-05-12,avatar,onboarding_video_progress_25,1,1,1,0
2026-05-12,avatar,onboarding_video_progress_50,1,1,1,0
2026-05-12,avatar,onboarding_video_progress_75,1,1,1,0
2026-05-12,avatar,onboarding_video_started,1,1,1,0
2026-05-12,control,create_video_page_opened,1,1,1,0
2026-05-12,control,first_meaningful_action,1,1,1,0
2026-05-12,control,onboarding_cta_clicked,1,1,1,0
2026-05-12,control,onboarding_modal_shown,1,1,1,0
2026-05-12,control,onboarding_video_progress_25,1,1,1,0
2026-05-12,control,onboarding_video_progress_50,1,1,1,0
2026-05-12,control,onboarding_video_started,1,1,1,0
2026-05-12,control,video_create_failed,1,1,1,0
2026-05-12,control,video_create_started,1,1,1,0
2026-05-13,avatar,create_video_page_opened,2,2,2,0
2026-05-13,avatar,first_meaningful_action,2,2,2,0
2026-05-13,avatar,onboarding_modal_shown,2,2,2,0
2026-05-13,avatar,onboarding_video_progress_25,2,2,2,0
2026-05-13,avatar,onboarding_video_progress_50,2,2,2,0
2026-05-13,avatar,onboarding_video_progress_75,1,1,1,0
2026-05-13,avatar,onboarding_video_progress_90,1,1,1,0
2026-05-13,avatar,onboarding_video_started,2,2,2,0
2026-05-13,avatar,video_create_failed,1,1,1,0
2026-05-13,avatar,video_create_started,2,2,2,0
2026-05-14,avatar,first_meaningful_action,1,1,1,0
2026-05-14,avatar,onboarding_cta_clicked,1,1,1,0
2026-05-14,avatar,onboarding_modal_shown,2,2,2,0
2026-05-14,avatar,onboarding_video_started,2,2,2,0
2026-05-14,control,create_video_page_opened,2,2,2,0
2026-05-14,control,first_meaningful_action,2,2,2,0
2026-05-14,control,onboarding_cta_clicked,2,2,2,0
2026-05-14,control,onboarding_modal_shown,2,2,2,0
2026-05-14,control,onboarding_video_progress_25,2,2,2,0
2026-05-14,control,onboarding_video_progress_50,1,1,1,0
2026-05-14,control,onboarding_video_progress_75,1,1,1,0
2026-05-14,control,onboarding_video_started,2,2,2,0
