id,assignment_id,onboarding_episode_id,variant,event_name,source,created_at,payload_json
1,1,synthetic-episode-0001,avatar,onboarding_modal_shown,synthetic,2026-05-13T20:32:46Z,"{""has_gclid"": false, ""attribution_source"": ""direct"", ""attribution_medium"": ""none"", ""attribution_campaign"": null, ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
2,1,synthetic-episode-0001,avatar,onboarding_video_started,synthetic,2026-05-13T20:32:50Z,"{""video_current_time_ms"": 0, ""video_duration_ms"": 169000}"
3,1,synthetic-episode-0001,avatar,onboarding_video_progress_25,synthetic,2026-05-13T20:33:04Z,"{""video_current_time_ms"": 42250, ""video_duration_ms"": 169000}"
4,1,synthetic-episode-0001,avatar,onboarding_video_progress_50,synthetic,2026-05-13T20:33:15Z,"{""video_current_time_ms"": 84500, ""video_duration_ms"": 169000}"
5,1,synthetic-episode-0001,avatar,first_meaningful_action,synthetic,2026-05-13T20:33:28Z,{}
6,1,synthetic-episode-0001,avatar,create_video_page_opened,synthetic,2026-05-13T20:33:47Z,{}
7,1,synthetic-episode-0001,avatar,video_create_started,synthetic,2026-05-13T20:34:12Z,{}
8,2,synthetic-episode-0002,control,onboarding_modal_shown,synthetic,2026-05-10T08:32:59Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": false}"
9,2,synthetic-episode-0002,control,onboarding_video_started,synthetic,2026-05-10T08:33:00Z,"{""video_current_time_ms"": 0, ""video_duration_ms"": 169000}"
10,3,synthetic-episode-0003,avatar,onboarding_modal_shown,synthetic,2026-05-10T20:36:58Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
11,3,synthetic-episode-0003,avatar,onboarding_video_started,synthetic,2026-05-10T20:36:59Z,"{""video_current_time_ms"": 0, ""video_duration_ms"": 169000}"
12,3,synthetic-episode-0003,avatar,onboarding_video_progress_25,synthetic,2026-05-10T20:37:10Z,"{""video_current_time_ms"": 42250, ""video_duration_ms"": 169000}"
13,3,synthetic-episode-0003,avatar,onboarding_video_progress_50,synthetic,2026-05-10T20:37:30Z,"{""video_current_time_ms"": 84500, ""video_duration_ms"": 169000}"
14,3,synthetic-episode-0003,avatar,onboarding_video_progress_75,synthetic,2026-05-10T20:37:57Z,"{""video_current_time_ms"": 126750, ""video_duration_ms"": 169000}"
15,4,synthetic-episode-0004,control,onboarding_modal_shown,synthetic,2026-05-06T11:51:29Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": false}"
16,5,synthetic-episode-0005,avatar,onboarding_modal_shown,synthetic,2026-05-14T06:49:20Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
17,5,synthetic-episode-0005,avatar,onboarding_video_started,synthetic,2026-05-14T06:49:23Z,"{""video_current_time_ms"": 0, ""video_duration_ms"": 169000}"
18,5,synthetic-episode-0005,avatar,onboarding_cta_clicked,synthetic,2026-05-14T06:49:52Z,{}
19,5,synthetic-episode-0005,avatar,first_meaningful_action,synthetic,2026-05-14T06:50:22Z,{}
20,6,synthetic-episode-0006,control,onboarding_modal_shown,synthetic,2026-05-14T00:04:24Z,"{""has_gclid"": false, ""attribution_source"": ""direct"", ""attribution_medium"": ""none"", ""attribution_campaign"": null, ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
21,6,synthetic-episode-0006,control,onboarding_video_started,synthetic,2026-05-14T00:04:26Z,"{""video_current_time_ms"": 0, ""video_duration_ms"": 169000}"
22,6,synthetic-episode-0006,control,onboarding_video_progress_25,synthetic,2026-05-14T00:04:42Z,"{""video_current_time_ms"": 42250, ""video_duration_ms"": 169000}"
23,6,synthetic-episode-0006,control,onboarding_video_progress_50,synthetic,2026-05-14T00:05:10Z,"{""video_current_time_ms"": 84500, ""video_duration_ms"": 169000}"
24,6,synthetic-episode-0006,control,onboarding_video_progress_75,synthetic,2026-05-14T00:05:29Z,"{""video_current_time_ms"": 126750, ""video_duration_ms"": 169000}"
25,6,synthetic-episode-0006,control,onboarding_cta_clicked,synthetic,2026-05-14T00:05:49Z,{}
26,6,synthetic-episode-0006,control,first_meaningful_action,synthetic,2026-05-14T00:06:10Z,{}
27,6,synthetic-episode-0006,control,create_video_page_opened,synthetic,2026-05-14T00:06:30Z,{}
28,7,synthetic-episode-0007,avatar,onboarding_modal_shown,synthetic,2026-05-10T03:47:43Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
29,8,synthetic-episode-0008,control,onboarding_modal_shown,synthetic,2026-05-11T02:39:19Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
30,8,synthetic-episode-0008,control,first_meaningful_action,synthetic,2026-05-11T02:39:31Z,{}
31,8,synthetic-episode-0008,control,create_video_page_opened,synthetic,2026-05-11T02:39:56Z,{}
32,9,synthetic-episode-0009,avatar,onboarding_modal_shown,synthetic,2026-05-13T17:38:19Z,"{""has_gclid"": true, ""attribution_source"": ""google"", ""attribution_medium"": ""cpc"", ""attribution_campaign"": ""synthetic_campaign"", ""analytics_consent_state"": ""granted"", ""clarity_enabled"": true}"
33,9,synthetic-episode-0009,avatar,onboarding_video_started,synthetic,2026-05-13T17:38:20Z,"{""video_current_time_ms"": 0, ""video_duration_ms"": 169000}"
