assignment_id,variant,assigned_at,first_exposure_at,completed_at,excluded_from_analysis,exclusion_reason,clarity_observable,tracked_event_count,video_started_at,video_completed_at,video_skipped_at,watch_percentage,cta_clicked_at,first_meaningful_action_at,first_video_created_at,first_video_within_7_days,time_to_first_video_hours
1,avatar,2026-05-13T20:32:31Z,2026-05-13T20:32:46Z,2026-05-13T20:34:12Z,0,,1,5,2026-05-13T20:32:46Z,,,50,,2026-05-13T20:33:28Z,,0,
2,control,2026-05-10T08:32:54Z,2026-05-10T08:32:59Z,2026-05-10T08:33:00Z,0,,1,6,2026-05-10T08:32:59Z,,,0,,,,0,
3,avatar,2026-05-10T20:36:39Z,2026-05-10T20:36:58Z,2026-05-10T20:37:57Z,0,,1,11,2026-05-10T20:36:58Z,,,25,,,,0,
4,control,2026-05-06T11:51:13Z,2026-05-06T11:51:29Z,2026-05-06T11:51:29Z,0,,0,5,,,,0,,,,0,
5,avatar,2026-05-14T06:48:44Z,2026-05-14T06:49:20Z,2026-05-14T06:50:22Z,0,,1,13,2026-05-14T06:49:20Z,,,0,2026-05-14T06:49:52Z,2026-05-14T06:50:22Z,,0,
6,control,2026-05-14T00:03:48Z,2026-05-14T00:04:24Z,2026-05-14T00:06:30Z,0,,1,14,2026-05-14T00:04:24Z,,,50,2026-05-14T00:05:49Z,2026-05-14T00:06:10Z,,0,
7,avatar,2026-05-10T03:47:21Z,2026-05-10T03:47:43Z,2026-05-10T03:47:43Z,0,,0,17,,,,0,,,,0,
8,control,2026-05-11T02:38:49Z,2026-05-11T02:39:19Z,2026-05-11T02:39:56Z,0,,1,5,,,,0,,2026-05-11T02:39:31Z,,0,
9,avatar,2026-05-13T17:37:55Z,2026-05-13T17:38:19Z,2026-05-13T17:40:19Z,0,,1,14,2026-05-13T17:38:19Z,,,50,,2026-05-13T17:39:43Z,,0,
10,control,2026-05-14T03:42:39Z,2026-05-14T03:42:45Z,2026-05-14T03:43:32Z,0,,1,9,2026-05-14T03:42:45Z,,,25,2026-05-14T03:43:15Z,2026-05-14T03:43:28Z,,0,
11,avatar,2026-05-11T07:28:57Z,2026-05-11T07:29:23Z,2026-05-11T07:31:21Z,0,,1,15,2026-05-11T07:29:23Z,,,75,2026-05-11T07:30:50Z,2026-05-11T07:31:00Z,,0,
12,control,2026-05-12T05:29:53Z,2026-05-12T05:30:09Z,2026-05-12T05:32:02Z,0,,0,10,2026-05-12T05:30:09Z,,,0,2026-05-12T05:30:59Z,2026-05-12T05:31:27Z,,0,
13,avatar,2026-05-07T03:48:36Z,2026-05-07T03:48:48Z,2026-05-07T03:50:01Z,0,,0,7,2026-05-07T03:48:48Z,,,50,,,,0,
14,control,2026-05-09T18:22:04Z,2026-05-09T18:22:19Z,2026-05-09T18:22:22Z,0,,1,15,2026-05-09T18:22:19Z,,,0,,,,0,
15,avatar,2026-05-11T02:10:51Z,2026-05-11T02:11:18Z,2026-05-11T02:14:43Z,0,,1,14,2026-05-11T02:11:18Z,2026-05-11T02:14:43Z,,75,,2026-05-11T02:13:22Z,,0,
16,control,2026-05-06T14:23:36Z,2026-05-06T14:23:50Z,2026-05-06T14:24:12Z,0,,1,14,2026-05-06T14:23:50Z,,,25,,,,0,
17,avatar,2026-05-08T01:34:14Z,2026-05-08T01:34:42Z,2026-05-08T01:36:17Z,0,,1,17,2026-05-08T01:34:42Z,,,25,2026-05-08T01:35:55Z,2026-05-08T01:36:17Z,,0,
18,control,2026-05-11T20:59:22Z,2026-05-11T21:00:01Z,2026-05-11T21:00:02Z,0,,1,17,2026-05-11T21:00:01Z,,,0,,,,0,
19,avatar,2026-05-12T09:37:50Z,2026-05-12T09:38:08Z,2026-05-12T09:39:25Z,0,,0,7,2026-05-12T09:38:08Z,,,0,,2026-05-12T09:39:25Z,,0,
20,control,2026-05-06T21:08:47Z,2026-05-06T21:08:49Z,2026-05-06T21:09:09Z,0,,1,4,2026-05-06T21:08:49Z,,,0,,2026-05-06T21:09:09Z,,0,
21,avatar,2026-05-08T11:43:36Z,2026-05-08T11:43:52Z,2026-05-08T11:44:16Z,0,,0,4,2026-05-08T11:43:52Z,,,25,,,,0,
22,control,2026-05-09T01:59:14Z,2026-05-09T01:59:27Z,2026-05-09T02:00:05Z,0,,1,14,,,,0,2026-05-09T01:59:53Z,2026-05-09T01:59:56Z,,0,
23,avatar,2026-05-14T06:01:38Z,2026-05-14T06:01:40Z,2026-05-14T06:01:45Z,0,,1,6,2026-05-14T06:01:40Z,,,0,,,,0,
24,control,2026-05-11T06:29:18Z,2026-05-11T06:29:57Z,2026-05-11T06:30:41Z,0,,1,15,2026-05-11T06:29:57Z,,,25,2026-05-11T06:30:29Z,2026-05-11T06:30:41Z,,0,
25,avatar,2026-05-10T09:37:51Z,2026-05-10T09:37:55Z,2026-05-10T09:39:29Z,0,,0,6,2026-05-10T09:37:55Z,,,0,2026-05-10T09:39:00Z,2026-05-10T09:39:20Z,,0,
26,control,2026-05-11T15:03:35Z,2026-05-11T15:03:50Z,2026-05-11T15:04:09Z,0,,1,13,,,,0,2026-05-11T15:04:01Z,2026-05-11T15:04:09Z,,0,
27,avatar,2026-05-11T13:51:12Z,2026-05-11T13:51:24Z,2026-05-11T13:51:41Z,0,,1,13,2026-05-11T13:51:24Z,,,0,,2026-05-11T13:51:28Z,,0,
28,control,2026-05-08T09:50:58Z,2026-05-08T09:51:13Z,2026-05-08T09:51:43Z,0,,0,15,2026-05-08T09:51:13Z,,,25,,2026-05-08T09:51:43Z,,0,
